,asins,titles,review_counts,prices
0,B01NA839A9,Asics Men’s Patriot 8 Running Shoes,347,25.00 - 89.99
1,B078862K65,Mizuno Men’s Wave Inspire 14 Running Shoes,2,78.10 - 172.55
2,B07911NSF2,Asics Men’s Gel-Sonoma 3 Trail Running Shoes,22,48.42 - 147.52
3,B0789YK6CT,Asics Men’s Patriot 9 Running Shoes,4,31.59 - 68.11
4,B01NCPUZXS,New Balance Men’s Mt620 Trail Running Shoes,8,34.99 - 143.36
5,B01JQFHSD6,Nike Men’s Zoom Winflo 4 Running Shoes,1,55.97 - 192.62
6,B01N1MUELL,"Under Armour Men’s UA Charged Bandit 3 Running Shoes, Black",15,48.00 - 196.21
7,B074MQY1C3,New Balance MT620v2 Trail Running Shoes (2E Width) - AW17,6,34.99 - 134.00
8,B072HT7KQS,Under Armour Men’s Ua Micro G Pursuit Running Shoes,3,39.99 - 142.60
9,B076BZKNZP,More Mile Cheviot 4 Mens Trail Running Shoes - Grey,1,22.14 - 33.99
10,B075MQNP82,Under Armour Men’s UA Charged Escape Competition Running Shoes,0,52.53 - 106.85
11,B0716PYXLJ,Brooks Men’s Ghost 10 Running Shoes,9,84.71 - 162.00
12,B003VIS294,Nike Men’s Downshifter 7 Running Shoes,49,33.59 - 385.89
13,B01M5JJMA2,Nike Men’s Air Zoom Pegasus 34 Competition Running Shoes,1,72.92 - 213.37
14,B071S3J1R5,Asics Men’s Gt-2000 5 Running Shoes,89,57.09 - 194.00
15,B071LJJHS8,Vibdiv Men's Running Shoes Lightweight Lace-Up Trainers,43,17.99 - 19.99
16,B01CE42TLC,"Under Armour Men’s UA Drift RN Mineral Training Shoes, M US",3,41.25 - 157.11
17,B01M9D2HVZ,"Asics Gel Sonoma 3 GTX M, Men’s Trail Running",26,55.23 - 105.00
18,B073RK9W8Q,adidas Men’s Galaxy 4 Competition Running Shoes,4,28.00 - 107.43
19,B078479M4F,Merrell Men’s All Out Crush Tough Mudder 2 Shoes,0,62.71 - 93.50
20,B077D7P2K7,adidas Men’s Terrex Tracerocker GTX Trail Running Shoes,0,50.23 - 98.67
21,B0777MTDNZ,Under Armour Men’s UA Mojo Competition Running Shoes,2,33.75 - 56.27
22,B079C1GTQZ,"adidas Men’s Ultraboost Training Shoes, Blue, 14.5 UK",0,119.90 - 471.00
23,B076BZ96V2,More Mile Cheviot 4 Ladies Trail Running Shoes - Black,1,30.00 - 33.99
24,B076JCNB65,"Mizuno Men’s Wave Rider 21 Running Shoes, Black",2,84.60 - 163.26
25,B01H435GSG,Nike Men’s Revolution 3 Running Shoes,186,37.52 - 275.37
26,B074JGHYKK,Salomon Men’s Rx Slide 3.0 Trail Running Shoes,6,31.46 - 79.17
27,B07198W8X9,"Under Armour Men’s UA Micro G Pursuit Competition Running Shoes, Black",1,43.99 - 138.64
28,B077BRRYJQ,adidas Men’s Ultraboost Training Shoes,31,89.96 - 448.00
29,B073SC3QGY,Asics Men’s Gt-1000 6 Running Shoes,0,52.23 - 117.45
30,B073QJTTHS,Asics Gel-Venture 6 Trail Running Shoes - AW17,10,35.99 - 65.54
31,B01N3Q2TOW,Brooks Men’s Beast '16 Running Shoes,2,85.48 - 289.44
32,B0781YXHGB,Asics Men’s Gel-Cumulus 19 Running Shoes,47,58.74 - 172.55
33,B00AILQT92,Nike Men’s Free RN Running Shoes,26,63.54 - 234.88
34,B0711KDQ4H,Under Armour Men’s UA Micro G Pursuit Competition Running Shoes,1,39.99 - 138.64
35,B01G4YLMXY,Inov8 Roclite 290 Trail Running Shoes - AW17,4,64.99 - 232.18
