,asins,titles,review_counts,prices
0,B00P0GI68M,UGREEN 10355 – 1 m USB 2.0 Type A to Mini USB Data Charging Cable – Black,160,5.99
1,B06XGCZWHH,Stoga Digital Camera DC-V100 Mini Digital Compact Camera 5 x Optical Zoom 8 x Digital Zoom 2.7 inch TFT LCD HD Compact Digital Camera - Pink,16,59.99
2,B003L1ZYZ6,"AmazonBasics Wireless Remote Control for Nikon P7000, D3000, D40, D40x, D50, D5000, D60, D70, D7000, D70s, D80 and D90 Digital SLR Cameras",304,7.99
3,B00XI87KV8,"AmazonBasics 127cm (50"")  Lightweight Tripod with Bag",0,14.79
4,B01CU8JZPU,Canon EOS 1300D DSLR Camera with EF-S18-55 DC III F3.5-5.6 Lens - Black,219,287.4
5,B01KOADMG4,Nikon D3400 + AF-P 18-55VR Digital SLR Camera & Lens Kit - Black,109,374.57
6,B00T9OEYXM,Canon EOS 750D Digital SLR Camera with 18 - 55 mm Lens,124,489.3
7,B071QXWN9R,Nikon D7500 Digital DSLR Camera Body - Black,16,969.99
8,B0733923XF,Canon EOS 200D Digital SLR Camera with EF-S 18 - 55 mm f/4-5.6 IS STM Lens - Black,33,549.0
9,B01BUYK04A,Canon EOS 80D Body Only Digital SLR Camera - Black,58,950.0
10,B01KURGS9E,Canon EOS 5D Mark IV DSLR Camera (Body Only),20,2599.0
11,B01MQGO8V6,Nikon D5600 + AF-P 18-55 VR DSLR Camera - Black,27,541.94
12,B01CU8JQ2W,Canon EOS 1300D DSLR Camera with EF-S18-55 IS II F3.5-5.6 Lens - Black,219,325.0
13,B01B5UZ4OU,"Nikon D5300 Digital SLR Camera - Black (24.2 MP, AF-P 18-55VR Lens Kit) 3-Inch LCD Screen",47,434.75
14,B00U5W8HFI,"Nikon D7200 Digital SLR Camera Body (24.2 MP, Wi-Fi, NFC) 3.2-Inch LCD Screen",104,679.99
15,B01AUBSY38,Nikon D500 Body Single-Lens Reflex Digital Camera-Black,32,1509.0
16,B00NINZLKK,Nikon D750 Digital SLR Camera (24.3 MP) 3.2 inch Tilt-Screen LCD with Wi-Fi,58,1316.0
17,B00BHXMO3A,Canon EOS 6D Mark II Digital SLR Camera - Black,14,1728.0
18,B00M0LQVEQ,"Panasonic DMC-FZ1000EB Lumix Bridge Camera (25-400mm LEICA DC Lens, 20.1MP)",92,539.0
19,B06X6LMVFW,Canon EOS 800D DSLR with EF-S 18-55 mm f/4-5.6 IS STM - Black,4,684.0
20,B077VRTC7P,NIKON D850 BODY - DIGITAL REFLEX CAMERA FX - 47.5 MEGAPIXELS,3,3154.0
21,B07339NMFV,Canon EOS 200D Digital SLR Camera - Black,33,449.99
22,B06ZYCS62R,Nikon D7500 Camera Body with 18 - 140 mm VR Digital DSLR Kit - Black,16,1239.99
23,B075WMFJ34,Canon EOS 200D EF-S 18 - 55 mm f/3.5-5.6 DC Camera - Black,33,505.0
