,asin,page,stars,author,date,title,comment,verified,helpful,pics,video,comment_id,author_status
0,B01608M23I,3,5,AHYW7TVACEMYQS2NQ2D3CISJQLYQ,31 October 2017,Five Stars,Happy with product he loves play mobile.,Verified Purchase,0,0,0,RTTUM0QU7HZWQ,none
1,B01608M23I,3,5,AGYJQ2G2AUWNUJRB7SVFRV3PSJ6Q,17 January 2018,Five Stars,excellent,Verified Purchase,0,0,0,R3FNSJ45BRF0X8,none
2,B01608M23I,3,5,AFA7TYS6KM6QLO5USYDOIDKUAMTA,16 March 2018,Five Stars,Grand daughter loves it,Verified Purchase,0,0,0,RE2CU061L9FBT,none
3,B01608M23I,3,5,AHKXO7XI2FSQYJEUID7H5TRMY4ZQ,27 March 2018,Five Stars,Godson loves it,Verified Purchase,0,0,0,R1G8XD7M3NPF9M,none
4,B01608M23I,3,5,AHA2E7FB7Y6QQQPZNM62R4CNACSA,21 March 2018,Good,Good,Verified Purchase,0,0,0,R2YW9S0RZDA23M,none
5,B01608M23I,3,4,AGYXKHGC4Z6DHKJOXNL2OVBJAHRA,22 March 2017,"Great, but beware of prying young eyes","Great,  but beware of prying young eyes. It comes as is seen with an address label stuck on the front, so I had to grab it and hide it under my jumper before it was noticed!",Verified Purchase,3,0,0,R3EWTBEMW07T9E,none
6,B00VGQKBGK,1,5,AFRROWZ33GBUAEDI245BNDFQZZOA,20 May 2017,Great toy,I explained how reviews worked to my little girl and she said she wanted to give the playset 44. She loves it! It's her first Playmobil toy and I think there'll be many more bought,Verified Purchase,0,0,0,RDN361GONBOSJ,none
7,B00VGQKBGK,1,5,AEOLDSJZMHRG7462UC6266NS5TFA,17 April 2018,Excellent,Bought for a 4 year old who loves it.,Verified Purchase,0,0,0,R3GDSTKQ2XNM2H,none
8,B00IF1VVFO,2,5,AF4VNVZXAPEZWB2TNHADVV7LNSYQ,15 November 2017,playmobil!!!,"Bought this item as a birthday present and the birthday girl loved. Its a wonderful little playground with some amazing little details. My only advice to anyone buying this as a gift is to pre build it, otherwise your child might get bored waiting.",Verified Purchase,0,0,0,R47RN623ZN66H,none
9,B00IF1VVFO,2,5,AEU4MD746E2QEEGGFGOCXX2S35QA,30 November 2015,Great for imaginations,Our 3'year old had this for her birthday and loves it.  Lots of imaginative play prompted. It did take quite a while to put together so I'm glad we did it the night before so it was ready to play with immediately.  Very pleased with this purchase.,Verified Purchase,0,0,0,R37TJB0Y77ZFVH,none
10,B00IF1VVFO,2,5,AGLLVARAVRXNG2USJP6GBUJQOHNA,3 April 2018,My nephew loves it!,My three year old nephew keeps playing with this one. The little details are wonderful. Great set.,Verified Purchase,0,0,0,R3VUJZ08PIQVRJ,none
11,B00IF1VVFO,2,4,AEM5DZ63NBDFY56XUXZBRH33XZ4A,2 January 2018,Brilliant as always,Brilliant as always. Attention to detail and sturdy construction just what you need for little hands and big imaginations. No problems :),Verified Purchase,0,0,0,R2LB2JQRYKVKV,none
12,B00IF1VVFO,2,5,AHJJZU3XS6QRF4IHVH7QB6HF43IQ,6 June 2017,A nice set,Great fun. .A lovely birthday present for 4yr old grand daughter who spends a lot of time in imaginative play.,Verified Purchase,0,0,0,R19F16WQMQZYQ5,none
13,B00IF1VVFO,2,4,AE4T5FIKRSHXUM623AB5PWO3ANAA,19 January 2018,Missing pieces but ok. 😬,Not impressed as I usually am as one of the ladies could not sit  down. Also the strap on the purse was missing. Still great set added on to the preschool. Bought for my daughters birthday and she was a bit bothered but she still loves the set.😊,Verified Purchase,0,0,0,RRYPFPBLZSB8N,none
14,B00IF1VVFO,2,5,AEGWHHY4NO3GMRKMYW2JYJPVZTRA,8 March 2016,Great Fun Used Regularly,Purchased for a granddaughter and she loves it along with the other related Playmobil items she got for Christmas.,Verified Purchase,1,0,0,R3PUP0MDL4QQCG,none
15,B00IF1VVFO,2,4,AE4DXDSZR355U5GTSZ2AZAHNCNOA,1 January 2017,3 and 2) have had great fun playing with it,"Tricky to put together with lots of tiny pieces but all 3 of my grandchildren (ages 4, 3 and 2) have had great fun playing with it.",Verified Purchase,0,0,0,R1P0CFWF2LXHS,none
16,B00IF1VVFO,2,4,AFYTA2RZRGQQ27JUC7I4CSB72UMA,20 June 2016,Dangerous balls,There are silly little balls on the top which don't seem to stay on and could be a choking hazard. So I've removed those to my tin of tiny small playmobil stuff. Otherwise great.,Verified Purchase,0,0,0,R32O26JQBTGN7Y,none
17,B00IF1VVFO,2,5,AE6UVQXSWN2K6EG7FUVRTQDOW6LA,26 February 2018,Five Stars,My granddaughter thought this was brilliant!,Verified Purchase,0,0,0,R251Q998GSQHZW,none
18,B01608M23I,2,5,AEZ4XTW5FDGJXRLOF5ATOR7TXSVQ,8 December 2017,Five Stars,Excellent,Verified Purchase,0,0,0,R35T11PWY6RQN8,none
19,B01608M23I,2,5,AFI25DUOSGRRKAJ4XDEHB2AWTYUQ,17 December 2017,Good,Kids love it,Verified Purchase,0,0,0,R35PJ2K0GXUTR4,none
20,B01608M23I,2,5,AHAPQ4V2AKAKN2PWDOQVXXW3THYA,13 December 2017,Five Stars,Great,Verified Purchase,0,0,0,RNXXY67C4QHJ7,none
21,B01608M23I,2,5,AFQD4MM3VT2ZTLJGAI4AJRW64FAQ,9 April 2018,Happy,Very happy with this item,Verified Purchase,0,0,0,R15YPD3K3HA7AE,none
22,B01608M23I,2,5,AEPDZI33VCJONTU2WYPLZSCTZY7Q,11 January 2018,Five Stars,Fabulous!,Verified Purchase,0,0,0,R1W2MBM7JJYTIE,none
23,B01608M23I,2,5,AGAWGQEKQ36SYOZBRKIBKCYYSTCQ,23 February 2018,Five Stars,Pleased with product @ delivery,Verified Purchase,0,0,0,RRCA2IRPVKGMS,none
24,B01608M23I,2,5,AGXHIQ23ZMQE77L3I7UBDZCVLVDQ,22 January 2017,Good product and fantastic delivery,Exactly as expected; we'll packaged and delivered next day in less than 24 hours - can't ask for more !!,Verified Purchase,1,0,0,R2IDIHZLPUI2I5,none
